quando;video;tempo;valor;doador;mensagem;identidade;repetido;score;n_doador
2026-08-09 19:15:51;live 01;00:31:05;50,00;Matheus Silva;familia, dando mais um alo aqui meu brother Feliz dias dos Vou sair com & Isilo ezac On Pais! Tmj ai;id0034;nao;0,0;1
2026-08-09 19:19:23;live 01;00:34:45;5,00;Anonimo;[S74L Fan Iyi;anon:Anonimo;indeterminado;0,0;1
2026-08-09 19:21:30;live 01;00:36:32;1,00;Exu;responsabilidade das suas falas? e tao ruim Blublu pq vc nunca assume a alguma mentira ? assim ser escravo do que fala?o ultimo audio foi;id0093;sim;7,5;2
2026-08-09 19:23:18;live 01;00:38:19;50,00;Matheus Silva;50, 00 Matheus Silva Nao foca nisso blue, esquece esse pessoal covarde que sO e corajoso no Zao anonimato. Chorem haters malditos! Canta pra eles blue haha;id0034;sim;72,5;2
2026-08-09 19:24:04;live 01;00:39:07;1,00;Brokiado;Como ja dizia 0 grande Cal Marques: todo castigo pra corno e pouco!;id0000;nao;0,0;1
2026-08-09 19:25:15;live 01;00:40:12;5,00;Radio Pangeia 666;"pais Voce lembra da sua filha Gabriella Camillo de Seu Feliz dia dos que voce abandonou seu maldito? Vai abandonar tambem 0 filho dessa vagabunda; que nao e teu ? Vai pro";id0001;nao;0,0;1
2026-08-09 19:26:03;live 01;00:41:06;1,00;Alface Prime;"pais velho, cara como tu conseguiu superar tanta Bluezao feliz dia dos mulher assim tao rapido; separei ontem e to quase morrendo da uma dica mano";id0037;nao;0,0;1
2026-08-09 19:29:28;live 01;00:44:35;1,00;Filho do blu;1, 00 Filho do blu SAFADO DEVOLVE DinHEIRO DO PARTO SEU VAGABUNDO GOLPISTA;id0029;nao;0,0;1
2026-08-09 19:32:06;live 01;00:47:11;1,00;Anonimo;00 1 Anonimo Pai vou mandar pra tu? tomar no meio do seu nao mandei Pra meu 0 372;anon:Anonimo;indeterminado;0,0;2
2026-08-09 19:33:11;live 01;00:48:17;1,00;JAVAPEIDO;oq tu fez com a crianca? sobre oq era 0 audio na Live do Renan?;id0059;nao;0,0;1
2026-08-09 19:38:44;live 01;00:53:42;1,00;Radio Pangeia 666 AM;pra ainda agora Usaram minha identidade pra aqui Quero me retratar vagabundo mandar 33 reais pra esse sabem que eu Voces que sao meus 7 nunca faria isso. Maldito seja esse impostor:;id0001;sim;95,0;2
2026-08-09 19:39:54;live 01;00:55:00;1,00;HATER do onan based;Islbl Sai da live onan based troxa 2za;id0011;nao;0,0;1
2026-08-09 19:43:27;live 01;00:58:27;1,00;Gabriel de Nobrega;"Gabriel de Nobrega Na sua epoca de maior fama, voce poderater_aproveitado e se tomnado um sado masvcioqu 0 dos maiores YouTubers do Brasil.Ja te admirei no passado; mas vejo deixou sua carencia guiar suas decisoes";id0014;nao;0,0;1
2026-08-09 19:44:16;live 01;00:59:16;15,00;canal do Viny Soteropolitano;00 15 Viny canal do Soteropolitano HADASSA ta se comportando manda um abraco para Betini Tomazzi € uezao Haroldo Bun colegas da PFte amamos Bluezao;id0009;nao;0,0;1
2026-08-09 19:45:10;live 01;01:00:07;5,00;SUELEN FLAUSINO DA MOTA;5,00 SUELENFLAUSINODAMOTA Si 27a1;id0013;nao;0,0;1
2026-08-09 19:47:14;live 01;01:02:19;20,00;Anonimo;Mais 4 Bluezao vc e meu irmao cuida da Hadassa;anon:Anonimo;indeterminado;0,0;3
2026-08-09 19:48:08;live 01;01:03:11;1,00;COMEDOR;A Suelen nao quer deixa voce trazer mulher ai pra fazer live com voce? ja loluezac que ela nao contribui em nada mais;id0072;nao;0,0;1
2026-08-09 19:50:15;live 01;01:05:16;1,00;JoannaMYO;Estao me assediando de novo na sua live, porque voce nao toma nenhuma ~on atitude ?;id0063;sim;31,7;2
2026-08-10 00:26:35;live 02;00:35:45;5,00;Bluezao conselhos;00 5 Bluezao-conselhos Isi (279 6;id0027;sim;82,5;2
2026-08-10 00:33:10;live 02;00:42:16;1,00;Bruno Silva;1, 00 Bruno Silva Eu tambem bluezao gosto de fica em casa mais se alguem me chama um 0 adade eu vou mais eu gosto de fica em casa tambem pela role uma volta;id0043;nao;0,0;1
2026-08-10 00:33:44;live 02;00:42:54;5,00;Big jack brasil;00 5 Big jack brasil e794 Si;id0022;nao;0,0;1
2026-08-10 00:41:39;live 02;00:50:50;1,00;Dr x;Vc e sempre a vitima ne cara de pau;id0056;nao;0,0;1
2026-08-10 00:47:28;live 02;00:56:31;20,00;Piy Recegido;20 00 FVRJ21 Ai bluezao, 0 dia q eu te vi em Santa Teresa tu foi um cara dahora_ me eu trabalhava de moto kkkk conheci voce na epoca Que voce tratou bem postou 0 video da avianca kkkkk oq deu aquela historia?;id0040;nao;0,0;1
2026-08-10 00:49:33;live 02;00:58:39;1,00;Dr x;1, 00 Dr x Sabendo de ser corno ainda lez tatuagem,VC e doente cara, totalmente 1eza6 com perdido;id0056;sim;39,6;2
2026-08-10 01:08:56;live 02;01:18:04;1,00;Bruno Silva;1,00 Bruno Silva Lulu ta apaixonado mostrou 0 rosto tudo na Instagram da ruiva a cara ta ezao apaixonado mesmo mulher € tentacao tambem Bluezao;id0043;sim;67,5;2
2026-08-10 01:11:28;live 02;01:20:39;1,00;zdark;quer 50 real bluezao? sou seu fa;id0083;nao;0,0;1
2026-08-10 01:13:45;live 02;01:22:49;1,00;Bruno Silva;1, 00 Bruno Silva Vinicius junior feio pra caramba pegando aquela gostosa da Virginia FonsecaBluezaommostra caneta azulja estarcom outra inacreditavel ele mal Jezau separou ja esta com outa;id0043;sim;67,5;3
2026-08-10 01:14:17;live 02;01:23:28;1,00;Raluca;contigo A Ingrid ta em live com a Ralacao querem fazer live;id0080;nao;0,0;1
2026-08-10 01:15:18;live 02;01:24:26;1,00;Rottweiler do bluezao;Bluezao vai votar em quem pra presidente?;id0010;nao;0,0;1
2026-08-10 01:15:55;live 02;01:25:02;1,00;zdark;1, 00 zdark slbl eza6 taai 05 1 ednquenta;id0083;sim;20,2;2
2026-08-10 01:25:16;live 02;01:34:26;1,00;Tumba;Ibbluezao Quanto pra aceitar falar com a raluca?;id0087;nao;0,0;1
2026-08-10 01:27:07;live 02;01:35:55;200,00;Tumba;200,00 Tumba;id0087;sim;20,2;2
2026-08-10 16:55:35;live 03;00:12:47;1,00;Namorado da Suelen;1, 00 Namorado da Suelen Combra quanto por um video personalizado sentando cmum borrachudo?;id0015;nao;0,0;1
2026-08-10 17:12:21;live 03;00:29:28;1,00;bluezao conselhos;"quase tu se deu bem com a raluca ontem em ela ta sem grana e ""20 fragilizada, aproveita agora e ja oferece a vaga de bluezete";id0027;sim;82,5;3
2026-08-10 17:13:54;live 03;00:31:22;1,00;Cebola;;id0076;nao;0,0;1
2026-08-10 17:14:37;live 03;00:31:47;1,00;live epica ontem;uezao panico, 1 ex-homem e uma ex-bluezete 1 ex;id0020;nao;0,0;1
2026-08-10 17:14:50;live 03;00:32:01;1,00;Luciana Guedes;Por que voce ficou conhecido como maniaco ? vi umas pessoas falando isso TeZa Jil em uma live ontem;id0031;nao;0,0;1
2026-08-10 17:16:50;live 03;00:34:02;3,00;marcao falei;bluezao Blu blu, toma um shot ael pai vc nao e0;id0036;nao;0,0;1
2026-08-10 17:17:16;live 03;00:34:29;1,00;UBERBECK;"JopEoUosEA0 TO VENDO FaLAR MEU NOME NALVEENo ChAT; TO DE OLHO OTaRIO !! VOU PROCESSAR TODO MUNDO";id0067;sim;29,2;2
2026-08-10 17:19:41;live 03;00:36:51;1,00;RALUCA;PARA DE FALAR NO MEU NOME SENAO VOU TE PROCESSAR VOCE SABE Jezau MUITO BEMO QUE VOCEFEZCoM a DANY;id0078;nao;0,0;1
2026-08-10 17:22:04;live 03;00:39:20;1,00;Fugitivo Do CAPS;;id0021;nao;0,0;1
2026-08-10 17:23:34;live 03;00:40:49;1,00;Bruno;Bluezao papo reto aquela raluca e feia de mais parece um boneco cone aquela raluca fica com papos de feminista raluca tambem fazia conteudo vestido de crianca;id0085;nao;0,0;1
2026-08-10 17:27:13;live 03;00:44:21;1,00;RALUCA;1, 00 ALUCA IaS NA HORA DE ME CHAMAR Pra MORAR COM VOCE VOCE CHAMQU E AINDA MENTTU IO COMECOIDA LIVE! TAVA JoDOEcTaDO FAlou;id0078;sim;22,7;2
2026-08-10 17:27:51;live 03;00:45:03;1,00;Ricardo;1, 00 Ricardo ~omlslbluezao ex-panico?;id0073;nao;0,0;1
2026-08-10 17:29:39;live 03;00:46:37;2,00;JoannaMYO;Minha mae nao deixa mais eu doar mais que 5 reais por dia;id0063;sim;31,7;3
2026-08-10 17:29:49;live 03;00:47:02;1,00;Leticia Guedes;fiquei horririzada Tive acesso ao processo do seu filho como voces tiveram coragem de fazer aquilo com uma crianca seu doente;id0031;sim;58,9;2
2026-08-10 17:31:20;live 03;00:48:36;1,00;JoannaMYO;"nao quero mais ser moderadora; muito assedio slk PODE TIRAR AGORA A MODERACAO";id0063;sim;31,7;4
2026-08-10 17:32:14;live 03;00:49:13;1,00;Leticia alencar;aquela crianca nem bandidos toleram 0 que vc fez com se voce for preso esta ferrado na cadeia;id0033;nao;0,0;1
2026-08-10 17:32:26;live 03;00:49:37;1,00;Joanna;NAO SOU EU QUE PEDI PRA TORAR BLUEZAO ESTAO FAZENDO FAKE MEU, MODERACAO;id0081;nao;0,0;1
2026-08-10 17:33:43;live 03;00:51:00;1,00;EX-PANICO OU TODO MUNDO EM PANICO?;;id0003;nao;0,0;1
2026-08-10 17:33:56;live 03;00:51:12;1,00;JoannaMYO;Desanima porque voce acredita nos HATERS, no botapix a pessoa escolhe im qualquer nome e se passam por m;id0063;sim;31,7;5
2026-08-10 17:34:59;live 04;00:00:00;1,00;Raphael;Acredita que a lona azul ainda continua na entrada da casa de Santana ?;id0071;nao;0,0;1
2026-08-10 17:36:27;live 04;00:01:01;5,00;Hater do Big Blu;J7 {nalguma alma caridosa pode por favor manda 1000 reais no meu bota piiiiit iixxxxxxxxxxxxxxxxxxJD ];id0011;sim;59,7;2
2026-08-10 17:36:36;live 04;00:01:40;1,00;JoannaMYO;pedir Porque te criticam por dinheiro mas os HATERS doam pra outros streamers;id0063;sim;31,7;6
2026-08-10 17:37:45;live 04;00:02:54;5,00;Zh;big Cade, conta uma fofoca braba ai pa nois, conta alguma blue Toma shot, 0 coisa nova;id0097;nao;0,0;1
2026-08-10 17:39:13;live 04;00:04:31;5,00;JoannaMYO;bluezao BLUEZAO DEIXA EU MORAR COMVOCE?;id0063;sim;31,7;7
2026-08-10 17:39:37;live 04;00:04:41;1,00;Exu;1, 00 Exu lslbluezao ta mas cadela novidade?;id0093;sim;7,5;3
2026-08-10 17:40:21;live 04;00:05:22;1,00;Pastor de Camboriu;"Relaxa irmao alexandre; suelen esta na roda de oracao da igreja. daqui aqui pedindo 0 UBER a pouco eu peco pra ela te mandar mensagem";id0016;nao;0,0;1
2026-08-10 17:43:53;live 04;00:07:35;5,00;JoamnaMYO;ALGUMA ALMA GENEROSA CARIDOSA PODE POR FAVOR ME DAR 100 REAIS NO MEU BOTA XXX PIID XXXXXXXXXX;id0065;nao;0,0;1
2026-08-10 17:45:11;live 04;00:10:26;5,00;JoannaMYO;IDADE E SO UM NUMERO BLUE;id0063;sim;31,7;8
2026-08-10 17:47:57;live 04;00:12:40;5,00;joannaMYO;ALGUMA ALMA CARIDOSA PODE POR FAVOR ME DAR PI RO CADA NO MEU BOOoOoOOOOOOOOOOOOOOOOOOOOOOOOOoo6 ooooooOOO OTA P ! XXXX;id0064;nao;0,0;1
2026-08-10 17:49:02;live 04;00:14:03;2,00;JoannaMYO;2, 00 JoannaMYO Queremcontrolar as escolhas das pessoas Oqueimporta e oamor € naoa idade comlslh eza0;id0063;sim;31,7;9
2026-08-10 17:49:43;live 04;00:14:40;1,00;Exu;1, 00 xu slublu como vC consegue ser tao burrolignoranteznem falo sobre seu nalfabetismo e curioso que vc consegue se colocar acima das leis nacionais ezao 'mundiais deveriamos fazer um governos unico s6 pra;id0093;sim;7,5;4
2026-08-10 17:51:06;live 04;00:16:05;1,00;PALHACO_BROXINHA;1, 00 PALHACO_BROXINHA Bluezaosetufor pratenado comou Suellenvaisesustentarl Ja Pe junte omlslb pensou nisso ac? eza0;id0050;nao;0,0;1
2026-08-10 17:54:49;live 04;00:19:51;5,00;JoannaMYO;VOCES DEVERIAM OUVIR 0 BLUEZAO ENVES DE CRITICAR, ELE DA OTIMOS CONSELHOS DIFERENTE DE VOCES QUE SO SABEM XINGAR;id0063;sim;31,7;10
2026-08-10 17:58:48;live 04;00:23:47;1,00;BLUEZAO PAPY;"algo Blue; Pq oNVCLIPS nuncamais mandou mensagem? Vocelfez para ele nao te perseguir mais? mlslb ezao";id0038;nao;0,0;1
2026-08-10 17:59:10;live 04;00:24:11;1,00;Nv;ndoemnada para esse safado que pegou dinheiro de parto para gastar atoa, vagabundo naoomislo Iezag;id0095;nao;0,0;1
2026-08-10 18:12:08;live 04;00:37:16;5,00;Anonimo;Bluezaovcja pensou emmudar de vida devolvemeus semironias eme dois reais se caloteiro eza0 Isi;anon:Anonimo;indeterminado;0,0;4
2026-08-10 18:15:51;live 04;00:40:52;1,00;NORMAN OSBORN;1, 00 NORMAN OSBORN Comentasobrea propostadalanja prabanin oDiscord do pais, jaquevoce lidera diversos grupos la dentro isi Ieza0;id0042;nao;0,0;1
2026-08-10 18:18:28;live 04;00:43:34;5,00;Cebola;Naomandemcebola praminha casaNaomandem_cebola praminhacasa, Nao mandem cebola pra minha casa s/b Ieza;id0076;sim;24,2;2
2026-08-10 18:21:25;live 04;00:46:29;1,00;Mata mata;Qual valor pra vc manda seu endereco;id0051;nao;0,0;1
2026-08-10 18:23:21;live 04;00:48:21;2,00;Mata mata;2, 00 Mata mata divulgar endereco Eu pago 5 mil se se0 sla 12790 con;id0051;sim;52,1;2
2026-08-10 18:25:39;live 04;00:50:31;5,00;Brokiado ( sem maldade);5, 00 Brokiado ( sem maldade) Xcomslb veza0;id0000;sim;95,0;2
2026-08-10 18:26:15;live 04;00:51:18;3,00;Mata mata;00 3 Mata mata Pago 10 mil no seu endereco ~comlslbluezao;id0051;sim;52,1;3
2026-08-10 18:27:15;live 04;00:52:15;1,00;Caldao da 17;00 1, Caldao da 17 Manda um salve pro PCC 1533 slb 1e720 con;id0024;nao;0,0;1
2026-08-10 18:31:31;live 04;00:56:31;1,00;Paulo;1, 00 Paulo Blusao voce € da igreja? comlslb 12790;id0082;nao;0,0;1
2026-08-10 18:33:53;live 04;00:58:55;1,00;Pailo;1, 00 ailo ntao nao temando mais nenhum real seu safado Isi 1e7a0 con;id0086;nao;0,0;1
2026-08-10 18:40:16;live 04;01:05:18;1,00;Velho Mimado;1, 00 Velho Mimado Naoaguentou 1Ominutos deideacomaRalacao quando ela falou queja era para VC tarde na cadeia VC correu igualla um rato covarde! 7a0;id0041;nao;0,0;1
2026-08-10 18:40:29;live 04;01:05:29;1,00;Jhonatan;Quando foi a ultima vez que voce transou? Pen;id0068;nao;0,0;1
2026-08-10 21:26:38;live 05;00:04:36;1,00;Israel;1,00 srael Jiblue Meperdoz poraquele_diaz_Queeufaleisobreidinheiro demenor de dade? De qualquer formaUma noite prospera Ieza0;id0075;nao;0,0;1
2026-08-10 21:29:02;live 05;00:07:00;1,00;javali;1,00 javali BLUEAQQPAISOLIEIRQ DIZQUEQUERISEU ZAP RARA TE MANDAR UM lslbl Pix ChamA ELEAL ezag;id0035;nao;0,0;1
2026-08-10 21:30:54;live 05;00:08:50;1,00;Javali 444;1, 00 Javali 444 Bluezaolembra_daquele diaquevoce comerlanvademandruva piolho de Praiaz cobra e barata da Islb eza0;id0035;sim;65,8;2
2026-08-10 21:37:17;live 05;00:15:17;1,00;Seu barriga;1, 00 Seu barriga fora Pague 0 aluguel senao te boto pra dal slb 16796 Ecor;id0045;nao;0,0;1
2026-08-10 21:39:34;live 05;00:17:26;1,00;Pai;lixo que nao cuida do filho, que nao deseja ver pai Como se sente sendo um ele crescer € que ainda por cima vai assumir outro filho que nao e seu, como filho, Pai e homem se sente?falhou como;id0092;nao;0,0;1
2026-08-10 21:41:09;live 05;00:19:08;1,00;Tumba;00 R< Tumba coe bluezao mandei 05 Z0O ontem e tusaiu de Iive da Taluca sho 1e79 con;id0087;sim;20,2;3
2026-08-10 21:42:22;live 05;00:20:20;1,00;Seu barriga;Pagueloaluguel Sexvocenaotem renda pramoraremCondominio deluxo mlsll volta pra Lapa seu eza0;id0045;sim;64,8;2
2026-08-10 21:46:12;live 05;00:24:08;1,00;caloteiro;1,00 caloteiro VOCENAOTEM CONTRAIO COMELEEOARARIAMENTO ESTANONOME DO CORRETOR ELE PODE SiM COBRAR eza0;id0060;nao;0,0;1
2026-08-10 21:49:59;live 05;00:27:51;5,00;Vagabundo 0202;5, 00 Vagabundo 0202;id0026;nao;0,0;1
2026-08-10 21:54:52;live 05;00:32:42;5,00;RALU;00 5 RALU Xcomslbuezao;id0090;nao;0,0;1
2026-08-10 21:57:42;live 05;00:35:47;1,00;Exu;1, 00 Exu fala do Rumpelstiitskin(Raluca) Kcomlslb 127a0;id0093;sim;7,5;5
2026-08-10 22:01:44;live 05;00:39:44;1,00;Filho do bluezao;00 1 Filho do bluezao Paga @ pensao 1e790 Islli 4 con;id0010;sim;66,8;2
2026-08-10 22:03:43;live 05;00:41:31;5,00;RALUCA;Kcomgiir ueza0;id0078;sim;22,7;3
2026-08-10 22:05:50;live 05;00:43:45;1,00;Luzia guedes;Imagina 0 tanto que esse_cara devese arrepender deter alugado esse apartamento para um maniaco sociopata descontrolado a7a0;id0031;sim;63,5;3
2026-08-10 22:07:30;live 05;00:45:26;1,00;Bluezao conselhos;1,00 Ps Bluezao conselhos Comosearalucanunca tivesse_engolido poura Ficou animado ontem ne Achou que ia se dar bem com & raluca ne 7! Cilada maxima javali Za0;id0027;sim;82,5;4
2026-08-10 22:09:48;live 05;00:47:42;1,00;Primo do VT;1, 00 Primo do VT Meu primoeapaixonadonanaluka Voceachaquecle merccenamorar com Islbl ela ou nao? Elee gente boa eza6;id0032;nao;0,0;1
2026-08-10 22:10:56;live 05;00:48:58;5,00;Hhh;<comsiin eza0;id0094;nao;0,0;1
2026-08-10 22:11:42;live 05;00:49:44;1,00;Suelen;Ucomgiin Jeza0;id0013;sim;90,2;2
2026-08-10 22:12:05;live 05;00:50:06;1,00;Israel;Oi blue. Me perdoa?;id0075;sim;24,2;2
2026-08-10 22:13:58;live 05;00:51:48;1,00;Suelen;Por aquele dia que eu falei para vc fazer um aviso de conscientizacao de doacao de menor:. Foi a poucos dias;id0013;sim;90,2;3
2026-08-10 22:15:50;live 05;00:53:52;1,00;Suelen;Xcomgibn Veza0;id0013;sim;90,2;4
2026-08-10 22:16:18;live 05;00:54:13;1,00;Jack da Lapa;"tu passado te condena velho jack Eae hoje ta amarradao e uma 14 ? Em *8* , safado; coitado dessa crianca ai r um jack na propria casa deus tenha piedade dessa crianca,amarradao em uma de""14 ne";id0030;nao;0,0;1
2026-08-10 22:16:44;live 05;00:54:39;1,00;Israel;1,00 Israel Eusoupobreman Sovouganhar dinheiroanoquevem Masficaaquiuma Excelente feliz dias dos apoio pais mensagem de atrasado 27a0;id0075;sim;24,2;3
2026-08-10 22:17:34;live 05;00:55:34;1,00;VT;salve bluezao manda salve pra minha prima jaqueline ela te acompanha ha muito tempo valeu;id0096;nao;0,0;1
2026-08-10 22:19:20;live 05;00:57:23;10,00;Israel;Xcomislb 1eza0;id0075;sim;24,2;4
2026-08-10 22:20:14;live 05;00:58:10;1,00;Derreaul;apoia 0 estado de Israel?vc trabalha para 0 BLUEZAO e verdade que vc Mossad?manda salve pro Ozymandias;id0069;nao;0,0;1
2026-08-10 22:20:25;live 05;00:58:24;1,00;Suelen;~comlslb veza0;id0013;sim;90,2;5
2026-08-10 22:22:11;live 05;01:00:01;5,00;Anonimo;abraco para Marcelo Valle Silveira Mello Psy Toma um shot e manda um gratidao a ele por tudo;anon:Anonimo;indeterminado;0,0;5
2026-08-10 22:23:53;live 05;01:01:56;1,00;Suelen;Xcomslb veza0;id0013;sim;90,2;6
2026-08-10 22:26:22;live 05;01:04:19;5,00;Abestado;Xcomisln Veza0;id0066;nao;0,0;1
2026-08-10 22:29:33;live 05;01:07:21;5,00;Abestado;5, 00 Abestado Xcomlslbvezao;id0066;sim;30,8;2
2026-08-10 22:31:20;live 05;01:09:18;1,00;mduquinhasoficial;1, 00 mduquinhasoficial salvemanobluezaoingrid emuito chata demnaismanoso mais vc lindao tiamo kkkk vc ta gato em bluezao slb Ieza0;id0049;nao;0,0;1
2026-08-10 22:32:01;live 05;01:09:58;1,00;BLUE;1, 00 BLUE Bluezao voce eateu? Deus no eriste Kcomlslb 1e790;id0091;nao;0,0;1
2026-08-10 22:32:16;live 05;01:10:12;1,00;Samuelchan;fala bluezao, hoje e aniversario deum amigo meu pode manda um salve pra ele??? ele te ama caso voce for gay ele esta a sua disposicao 97a;id0057;nao;0,0;1
2026-08-10 22:32:37;live 05;01:10:37;1,00;Benjamim Netanyahu;Bluezao vC e judeur slb 12720 con;id0025;nao;0,0;1
2026-08-10 22:33:56;live 05;01:11:52;1,00;BLUE;Pode perceber 0 pessoal do ganha dinheiro e visualizacao se falar de voce, a Islbl Deeptube depende de voce 12z2;id0091;sim;16,2;2
2026-08-10 22:35:29;live 05;01:13:28;1,00;BLUE;1,00 {5 3LUE Jai ao medico voce deve ter saude para produzir conteudo e7a0 cor;id0091;sim;16,2;3
2026-08-10 22:37:25;live 05;01:15:23;5,00;Suelen;Xcomsll6 Veza0;id0013;sim;90,2;7
2026-08-10 22:37:42;live 05;01:15:45;1,00;Nostradamos;"xingou 0 La Fenix; porque? io, No Podcast no Everson Zor voce";id0055;nao;0,0;1
2026-08-10 22:39:03;live 05;01:17:01;1,00;LUCAS ABBADE FUZETTI MOTTA;SOU SEU MAIOR FA BLUZAOIIII! VAMOOS GRAVAR COLAB PELADOS;id0018;nao;0,0;1
2026-08-10 22:40:42;live 05;01:18:36;5,00;Canal do Viny Soteropolitano;Tem coragem de subir a Hadassa na live ?eu seguro 0 BO, toma 0 shot;id0009;sim;95,0;2
2026-08-10 22:40:42;live 05;01:18:44;1,00;Barbiekills;"Blu, faco algumas lives; sou mulher e de maior: Te Oi comecei meu canal e chamei no zap";id0054;nao;0,0;1
2026-08-10 22:42:20;live 05;01:20:16;1,00;Caua Gouveia;1, 00 Caua Gouveia bluezaoejalamaldicoado por toda asua vida por todainojeira quevoceja comlslb fez eza0;id0044;nao;0,0;1
2026-08-10 22:43:13;live 05;01:21:11;5,00;Barbiekills;00 5 Barbiekills;id0054;sim;39,8;2
2026-08-10 22:44:06;live 05;01:22:02;5,00;Suelen;Kcomgsli) Veza0;id0013;sim;90,2;8
2026-08-10 22:45:03;live 05;01:23:01;1,00;Profeta;1, 00 Profeta destruicao tem esquizofrenia? 0 Profeta da shb 1e7a cor;id0070;nao;0,0;1
2026-08-10 22:49:04;live 05;01:26:51;2,00;Barbiekills;2, 00 Barbiekills Qi Blu mandeila tudo certinhono seu email _documentos € meunumero depois confirma se chegou certinho por favor e70;id0054;sim;39,8;3
2026-08-10 22:49:05;live 05;01:27:02;1,00;Te chama pra fazer live pra falar em cima de voce porque ela sabe que vo_;Iechama prafazer live pra falarem cimadevoce porquelela sabe que voce famoso ex panico mlslb e 2za0;id0017;nao;0,0;1
2026-08-10 22:49:36;live 05;01:27:36;1,00;raluca;1, 00 raluca luezao deixa eu comer seu Islb 12720 Cor;id0079;nao;0,0;1
2026-08-10 22:50:01;live 05;01:28:03;10,00;Luis Davi;10,00 Luis Davi Xcomslb vezao;id0048;nao;0,0;1
2026-08-10 22:51:16;live 05;01:29:12;1,00;Bluezao, sera que 0 pastor te engravidou tambem ? Isso e sintomas de ho _;"Bluezao; sera que 0 pastor te engravidou tambem ? Isso e sintomas de homem gravido vdoomislb eza0";id0004;nao;0,0;1
2026-08-10 22:52:26;live 05;01:30:29;1,00;Batu;Live da ingrid Chora, makakool T;id0088;nao;0,0;1
2026-08-10 22:53:55;live 05;01:31:55;1,00;Barbie;1,00 Barbie Agora foi deixeila meu numero € 21989858619 1e7a0 scon;id0077;nao;0,0;1
2026-08-10 22:54:10;live 05;01:32:10;1,00;ingrind on;1,00 ingrind on BORA Pra LiveDa ingrid slb 1e7a0 c0;id0047;nao;0,0;1
2026-08-10 22:54:55;live 05;01:32:52;10,00;Luis Davi;10, 00 Luis Davi Vamos ajudar 0 Bluezao comlslbl 12790;id0048;sim;58,3;2
2026-08-10 22:55:29;live 05;01:33:18;1,00;Live de shot na ingrid;1, 00 ingrid Give de shotna IVE ON SHOT E DESAFIOSyoutube/indyanajoness slb 1e7a0 con;id0006;nao;0,0;1
2026-08-10 22:55:30;live 05;01:33:28;2,00;Anonima;Reclamaque estacomrefluxo fica chupando essenariz todahorae toma pinga? Ah para ne mlslb 1e790;anon:Anonima;indeterminado;0,0;1
2026-08-10 22:59:01;live 05;01:37:00;2,00;Barbie;2, 00 3arbie a esta noseu email meus documentos emeu telefone comlslb 1e7a;id0077;sim;22,7;2
